 "rsNr" , "dateApplicability" , "title" , "abrev" , "fileUrl" ,
 "0.103.29" , "2019-11-12" , "Accord du 27 février 1995 instituant l'Institut international pour la démocratie et l'assistance électorale (International IDEA)" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2006/234/20191112/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2006-234-20191112-fr-pdf-a.pdf" ,
 "0.103.3" , "2022-09-16" , "Convention internationale du 20 décembre 2006 pour la protection de toutes les personnes contre les disparitions forcées" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2016/757/20220916/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2016-757-20220916-fr-pdf-a.pdf" ,
 "0.104" , "2022-04-21" , "Convention internationale du 21 décembre 1965 sur l'élimination de toutes les formes de discrimination raciale" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1995/1164_1164_1164/20220421/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1995-1164_1164_1164-20220421-fr-pdf-a.pdf" ,
 "0.105" , "2022-02-15" , "Convention du 10 décembre 1984 contre la torture et autres peines ou traitements cruels, inhumains ou dégradants" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1987/1307_1307_1307/20220215/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1987-1307_1307_1307-20220215-fr-pdf-a.pdf" ,
 "0.105.1" , "2022-01-25" , "Protocole facultatif du 18 décembre 2002 se rapportant à la Convention contre la torture et autres peines ou traitements cruels, inhumains ou dégradants" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2009/664/20220125/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2009-664-20220125-fr-pdf-a.pdf" ,
 "0.106" , "2016-07-21" , "Convention européenne du 26 novembre 1987 pour la prévention de la torture et des peines ou traitements inhumains ou dégradants (avec annexe)" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1989/150_150_150/20160721/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1989-150_150_150-20160721-fr-pdf-a.pdf" ,
 "0.107" , "2023-02-27" , "Convention du 20 novembre 1989 relative aux droits de l'enfant" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1998/2055_2055_2055/20230227/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1998-2055_2055_2055-20230227-fr-pdf-a.pdf" ,
 "0.107.1" , "2023-04-20" , "Protocole facultatif du 25 mai 2000 à la Convention relative aux droits de l'enfant, concernant l'implication d'enfants dans les conflits armés" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2002/542/20230420/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2002-542-20230420-fr-pdf-a.pdf" ,
 "0.107.2" , "2023-04-20" , "Protocole facultatif du 25 mai 2000 à la Convention relative aux droits de l'enfant, concernant la vente d'enfants, la prostitution des enfants et la pornographie mettant en scène des enfants" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2006/824/20230420/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2006-824-20230420-fr-pdf-a.pdf" ,
 "0.107.3" , "2022-09-23" , "Protocole facultatif du 19 décembre 2011 à la Convention relative aux droits de l'enfant établissant une procédure de présentation de communications" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2017/330/20220923/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2017-330-20220923-fr-pdf-a.pdf" ,
 "0.108" , "2023-04-19" , "Convention du 18 décembre 1979 sur l'élimination de toutes les formes de discrimination à l'égard des femmes" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1999/239/20230419/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1999-239-20230419-fr-pdf-a.pdf" ,
 "0.108.1" , "2023-04-19" , "Protocole facultatif du 6 octobre 1999 se rapportant à la Convention sur l'élimination de toutes les formes de discrimination à l'égard des femmes" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2009/44/20230419/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2009-44-20230419-fr-pdf-a.pdf" ,
 "0.109" , "2022-10-04" , "Convention du 13 décembre 2006 relative aux droits des personnes handicapées" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2014/245/20221004/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2014-245-20221004-fr-pdf-a.pdf" ,
 "0.111" , "2020-05-08" , "Convention de Vienne du 23 mai 1969 sur le droit des traités (avec annexe)" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1990/1112_1112_1112/20200508/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1990-1112_1112_1112-20200508-fr-pdf-a.pdf" ,
 "0.120" , "2015-06-23" , "Charte des Nations Unies du 26 juin 1945" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2003/160/20150623/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2003-160-20150623-fr-pdf-a.pdf" ,
 "0.121" , "2020-04-17" , "Traité du 1<sup>er</sup> décembre 1959 sur l'Antarctique" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1990/1925_1925_1925/20200417/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1990-1925_1925_1925-20200417-fr-pdf-a.pdf" ,
 "0.121.1" , "2020-04-17" , "Protocole du 4 octobre 1991 au Traité sur l'Antarctique, relatif à la protection de l'environnement (avec app. et annexes)" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2017/297/20200417/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2017-297-20200417-fr-pdf-a.pdf" ,
 "0.122.1" , "2020-02-01" , "Échange de notes des 28/30 janvier 2020 entre la Suisse et l'Union européenne concernant la continuation de l'application des accords entre la Suisse et l'Union européenne au Royaume-Uni pendant la période de transition après son retrait de l'Union européenne au 31 janvier 2020" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2020/74/20200201/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2020-74-20200201-fr-pdf-a.pdf" ,
 "0.131.1" , "2019-05-16" , "Convention-cadre européenne du 21 mai 1980 sur la coopération transfrontalière des collectivités ou autorités territoriales (avec annexe)" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1982/1076_1076_1076/20190516/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1982-1076_1076_1076-20190516-fr-pdf-a.pdf" ,
 "0.131.11" , "2018-01-23" , "Protocole additionnel du 9 novembre 1995 à la Convention-cadre européenne sur la coopération transfrontalière des collectivités ou autorités territoriales" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2002/523/20180123/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2002-523-20180123-fr-pdf-a.pdf" ,
 "0.131.12" , "2018-01-23" , "Protocole n<sup>o</sup> 2 du 5 mai 1998 à la Convention-cadre européenne sur la coopération transfrontalière des collectivités ou autorités territoriales relatif à la coopération interterritoriale" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2004/96/20180123/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2004-96-20180123-fr-pdf-a.pdf" ,
 "0.131.13" , "2020-04-09" , "Protocole n<sup>o</sup> 3 du 16 novembre 2009 à la Convention-cadre européenne sur la coopération transfrontalière des collectivités ou autorités territoriales relatif aux Groupements eurorégionaux de coopération (GEC)" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2013/120/20200409/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2013-120-20200409-fr-pdf-a.pdf" ,
 "0.131.21" , "2001-06-01" , "Accord du 21 septembre 2000 entre le Conseil fédéral suisse, le Gouvernement de la République fédérale d'Allemagne et le Gouvernement de la République française sur la coopération transfrontalière dans la région du Rhin Supérieur" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2001/366/20010601/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2001-366-20010601-fr-pdf-a.pdf" ,
 "0.131.245.4" , "1993-04-26" , "Accord cadre du 24 février 1993 entre la Confédération suisse et la République italienne sur la coopération transfrontalière des collectivités et autorités régionales et locales" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1993/2072_2072_2072/19930426/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1993-2072_2072_2072-19930426-fr-pdf-a.pdf" ,
 "0.131.313.6" , "1988-12-01" , "Accord du 28 novembre 1984 entre la Confédération suisse et la République fédérale d'Allemagne sur l'assistance mutuelle en cas de catastrophe ou d'accident grave" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1988/1740_1740_1740/19881201/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1988-1740_1740_1740-19881201-fr-pdf-a.pdf" ,
 "0.131.316.3" , "2002-03-01" , "Accord du 22 mars 2000 entre la Confédération suisse et la République d'Autriche sur l'assistance mutuelle en cas de catastrophe ou d'accident grave" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2003/285/20020301/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2003-285-20020301-fr-pdf-a.pdf" ,
 "0.131.316.31" , "2011-11-01" , "Convention du 3 mars 2011 entre la Confédération suisse et la République d'Autriche relative aux facilités accordées lors de vols d'ambulance de même que lors de vols de sauvetage" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2011/656/20111101/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2011-656-20111101-fr-pdf-a.pdf" ,
 "0.131.334.9" , "1989-04-01" , "Accord du 14 janvier 1987 entre le Conseil fédéral suisse et le Gouvernement de la République française sur l'assistance mutuelle en cas de catastrophe ou d'accident grave" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1989/522_522_522/19890401/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1989-522_522_522-19890401-fr-pdf-a.pdf" ,
 "0.131.334.91" , "2007-06-25" , "Echange de notes des 28 février/25 juin 2007 entre la Suisse et la France complémentaire à l'Accord du 14 janvier 1987 entre le Conseil fédéral suisse et le Gouvernement de la République française sur l'assistance mutuelle en cas de catastrophe ou d'accident grave" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2007/398/20070625/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2007-398-20070625-fr-pdf-a.pdf" ,
 "0.131.334.92" , "2017-08-15" , "Accord du 8 décembre 2016 entre le Conseil fédéral suisse, le Gouvernement de la République française et l'Organisation européenne pour la recherche nucléaire (CERN) relatif à l'assistance mutuelle entre leurs services dans le cadre d'opérations de secours" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2017/455/20170815/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2017-455-20170815-fr-pdf-a.pdf" ,
 "0.131.334.93" , "2019-10-01" , "Accord-cadre du 27 septembre 2016 entre le Conseil fédéral suisse et le Gouvernement de la République française sur la coopération sanitaire transfrontalière" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2019/531/20191001/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2019-531-20191001-fr-pdf-a.pdf" ,
 "0.131.334.931" , "2019-10-01" , "Protocole d'application du 27 septembre 2016 entre le Département fédéral de l'Intérieur de la Confédération suisse et le Ministère des Affaires sociales et de la Santé de la République française relatif aux modalités de mise en uvre de l'Accord-cadre sur la coopération sanitaire transfrontalière conclu le 27 septembre 2016 entre le Conseil fédéral suisse d'une part, et le Gouvernement de la République française d'autre part" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2019/532/20191001/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2019-532-20191001-fr-pdf-a.pdf" ,
 "0.131.345.4" , "1998-05-26" , "Accord du 2 mai 1995 entre la Confédération suisse et la République italienne sur la coopération dans le domaine de la prévision et de la prévention des risques majeurs et de l'assistance mutuelle en cas de catastrophe naturelle ou imputable à l'activité humaine" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2000/275/19980526/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2000-275-19980526-fr-pdf-a.pdf" ,
 "0.131.351.4" , "2006-12-01" , "Accord du 2 novembre 2005 entre la Confédération suisse et la Principauté de Liechtenstein sur l'assistance mutuelle en cas de catastrophe ou d'accident grave" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2007/2/20061201/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2007-2-20061201-fr-pdf-a.pdf" ,
 "0.132.136.1" , "1908-08-23" , "Traité du 21 décembre 1906 entre le Conseil fédéral suisse et le Gouvernement grand-ducal badois relativement au déplacement de la frontière près de Léopoldshoehe" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/24/793_807_783/19080823/fr/pdf-a/fedlex-data-admin-ch-eli-cc-24-793_807_783-19080823-fr-pdf-a.pdf" ,
 "0.132.136.11" , "1908-08-23" , "Convention du 29 octobre 1907 entre la Suisse et l'Empire d'Allemagne concernant le déplacement de la frontière près de Léopoldshoehe" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/24/799_812_788/19080823/fr/pdf-a/fedlex-data-admin-ch-eli-cc-24-799_812_788-19080823-fr-pdf-a.pdf" ,
 "0.132.136.2" , "1939-06-13" , "Convention du 22 septembre 1938 entre la Suisse et le Reich allemand sur le déplacement de la frontière le long des routes Neuhausen-Jestetten, Weisweil-Erzingen, Buch-Gottmadingen et Rüdlingen-Lottstetten" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/55/465_473_427/19390613/fr/pdf-a/fedlex-data-admin-ch-eli-cc-55-465_473_427-19390613-fr-pdf-a.pdf" ,
 "0.132.136.3" , "1967-10-04" , "Traité du 23 novembre 1964 entre la Confédération Suisse et la République fédérale d'Allemagne sur l'aménagement de la frontière dans le secteur ConstanceNeuhausen am Rheinfall (avec prot. fin.)" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1967/1195_1235_1229/19671004/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1967-1195_1235_1229-19671004-fr-pdf-a.pdf" ,
 "0.132.136.4" , "1855-01-20" , "Convention du 20/31 octobre 1854 entre la Confédération suisse et le Grand-Duché de Bade concernant la délimitation des frontières" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/V/71_67_70/18550120/fr/pdf-a/fedlex-data-admin-ch-eli-cc-V-71_67_70-18550120-fr-pdf-a-1.pdf" ,
 "0.132.136.5" , "1879-08-14" , "Convention du 28 avril 1878 entre la Suisse et le Grand-Duché de Bade concernant la régularisation de la frontière près de Constance (avec prot. fin.)" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/4/285_249_285/18790814/fr/pdf-a/fedlex-data-admin-ch-eli-cc-4-285_249_285-18790814-fr-pdf-a-3.pdf" ,
 "0.132.136.51" , "1879-08-14" , "Convention du 24 juin 1879 entre la Suisse et l'Empire allemand concernant la régularisation de la frontière près de Constance" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/4/282_246_282/18790814/fr/pdf-a/fedlex-data-admin-ch-eli-cc-4-282_246_282-18790814-fr-pdf-a-1.pdf" ,
 "0.132.136.511" , "1893-12-08" , "Déclaration du 8 décembre 1893 entre la Suisse et le Grand-Duché de Bade concernant les bâtiments élevés à la frontière entre les deux Etats à Kreuzlingen" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/14/82_73_85/18931208/fr/pdf-a/fedlex-data-admin-ch-eli-cc-14-82_73_85-18931208-fr-pdf-a.pdf" ,
 "0.132.136.52" , "1939-06-13" , "Convention du 21 septembre 1938 entre la Suisse et le Reich allemand sur le déplacement de la frontière entre le canton de Thurgovie et l'arrondissement de la ville de Constance" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/55/462_470_424/19390613/fr/pdf-a/fedlex-data-admin-ch-eli-cc-55-462_470_424-19390613-fr-pdf-a.pdf" ,
 "0.132.136.6" , "2004-04-04" , "Convention du 5 mars 2002 entre la Confédération suisse et la République fédérale d'Allemagne concernant le tracé de la frontière dans les secteurs de Bargen/Blumberg, Barzheim/Hilzingen, Dörflingen/Büsingen, Hüntwangen/Hohentengen et Wasterkingen/Hohentengen" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2004/332/20040404/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2004-332-20040404-fr-pdf-a-1.pdf" ,
 "0.132.163.1" , "1972-09-16" , "Traité du 20 juillet 1970 entre la Confédération suisse et la République d'Autriche sur le tracé de la frontière entre les deux Etats" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1972/1863_1887_2067/19720916/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1972-1863_1887_2067-19720916-fr-pdf-a.pdf" ,
 "0.132.163.2" , "1972-09-16" , "Accord du 20 juillet 1970 entre la Confédération suisse et la République d'Autriche sur l'abornement de la frontière entre les deux Etats et l'entretien des signes de démarcation (avec prot.)" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1972/1870_1894_2074/19720916/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1972-1870_1894_2074-19720916-fr-pdf-a.pdf" ,
 "0.132.349.11" , "1902-11-22" , "Convention du 10 juin 1891 entre la Suisse et la France relative à la délimitation de la frontière entre le mont Dolent et le lac Léman (avec annexe)" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/19/439_411_423/19021122/fr/pdf-a/fedlex-data-admin-ch-eli-cc-19-439_411_423-19021122-fr-pdf-a.pdf" ,
 "0.132.349.111" , "1969-07-11" , "Convention du 23 août 1963 entre la Confédération Suisse et la République Française concernant une rectification de la frontière franco-suisse" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1964/1264_1272_1304/19690711/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1964-1264_1272_1304-19690711-fr-pdf-a.pdf" ,
 "0.132.349.14" , "1957-09-10" , "Convention du 25 février 1953 entre la Suisse et la France sur la détermination de la frontière dans le Lac Léman" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1957/874_884_908/19570910/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1957-874_884_908-19570910-fr-pdf-a.pdf" ,
 "0.132.349.16" , "2004-05-01" , "Convention du 18 janvier 2002 entre la Confédération Suisse et la République Française portant rectifications de la frontière entre le canton de Genève et les départements de l'Ain et de la Haute-Savoie (avec annexes) " ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2004/561/20040501/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2004-561-20040501-fr-pdf-a-1.pdf" ,
 "0.132.349.17" , "1960-12-01" , "Convention du 3 décembre 1959 entre la Suisse et la France concernant une rectification de la frontière sur l'Hermance" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1960/1493_1550_1551/19601201/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1960-1493_1550_1551-19601201-fr-pdf-a.pdf" ,
 "0.132.349.18" , "2000-03-01" , "Convention du 18 septembre 1996 entre la Confédération suisse et la République française portant rectification de la frontière franco-suisse suite au raccordement des autoroutes entre Bardonnex (Canton de Genève) et Saint-Julien-en-Genevois (Département de la Haute-Savoie)" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2000/379/20000301/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2000-379-20000301-fr-pdf-a.pdf" ,
 "0.132.349.19" , "1975-04-15" , "Convention du 10 juillet 1973 entre la Suisse et la France concernant une rectification de la frontière entre le canton de Genève et le département de la Haute-Savoie" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1975/895_895_894/19750415/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1975-895_895_894-19750415-fr-pdf-a.pdf" ,
 "0.132.349.20" , "1979-11-26" , "Convention du 25 février 1953 entre la Suisse et la France sur diverses modifications de la frontière le long de la route nationale française n<sup>o</sup> 206" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1980/146_144_144/19791126/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1980-146_144_144-19791126-fr-pdf-a.pdf" ,
 "0.132.349.24" , "1863-02-20" , "Traité du 8 décembre 1862 entre la Confédération suisse et la France concernant la vallée des Dappes (avec prot.)" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/VII/450_439_433/18630220/fr/pdf-a/fedlex-data-admin-ch-eli-cc-VII-450_439_433-18630220-fr-pdf-a-2.pdf" ,
 "0.132.349.241" , "1864-02-18" , "Déclaration du 18 février 1864 entre la Suisse et la France concernant la délimitation de la vallée des Dappes" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/VIII/77_77_77/18640218/fr/pdf-a/fedlex-data-admin-ch-eli-cc-VIII-77_77_77-18640218-fr-pdf-a-1.pdf" ,
 "0.132.349.27" , "1967-06-01" , "Convention du 3 décembre 1959 entre la Suisse et la France relative à une modification de la frontière entre le canton de Vaud et le département de l'Ain" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1967/997_1037_1031/19670601/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1967-997_1037_1031-19670601-fr-pdf-a.pdf" ,
